KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN)
SETTINGS_FXMAPPING,KEY MAPPING,CONFIGURAR TECLADO,TECLADO PRO GUEMER,УПРАВЛЕНИЕ,キー マッピング,Tastenbelegung,CLAVIER,Opciones de Teclado,Nastavení kláves,키 설정,CONTROLLER-OPTIES,CONFIGURA TASTI,按鍵設定,按键设置,Pengaturan Tombol,Ustawienia sterowania,BILLENTYŰ KIOSZTÁS,ตั้งค่าปุ่มกด,KNAPP KOMBINERING,Tastatur-indstillinger,Cartografiere taste,Change the 'Board,שינוי מקשים,Knapp Konfiguration,ΚΑΘΟΡΙΣΜΟΣ ΠΛΗΚΤΡΩΝ,Tùy Chỉnh Phím,TUŞ ATAMA,ترتيب مفاتيح التحكم,CONFIGURAR TECLAS,NÄPPÄINTEN UUDELLEENOHJAUS
SETTINGS_DELETESAVE,DELETE SAVED GAME,DELETAR JOGO SALVO,IXI DELETA O SAVE,УДАЛИТЬ СОХРАНЕНИЕ,セーブデータを さくじょ,Spielstand löschen,EFFACER LA SAUVEGARDE,Borrar Datos de Partida,Smazání uložené hry,저장된 기록 지우기,OPGESLAGEN SAVE VERWIJDEREN,ELIMINA SALVATAGGI,刪除遊戲紀錄,删除已保存游戏,Hapus Data Permainan,Usuń zapisany postęp,MENTÉS TÖRLÉSE,ลบเซฟเกม,SLETT LAGRET DATA,Slet Gemte Spil,Șterge jocuri salvate,Destroy Past Captains,למחוק משחק שמור,Radera Sparat Spel,ΔΙΑΓΡΑΦΗ ΑΠΟΘΥΚΕΥΜΕΝΟΥ ΠΑΙΧΝΙΔΙΟΥ,Xóa phần lưu hiện tại,KAYITLI OYUNU SİL,احذف اللعبة المخزنة,ELIMINAR JOGO GUARDADO,POISTA TALLENNETTU PELI
SETTINGS_DELETESAVE_CONFIRM,YES! DELETE!,SIM! DELETAR!,VAI LOGO,ДА! УДАЛИТЬ!,はい! もちろん!,Bitte löschen!,OUI! EFFACER!,"¡Sí, borrar!","Ano, smazat!",네! 지우겠어요!,JA! VERWIJDER!,SÌ! ELIMINA!,是! 將會刪除,是的！删除！,Ya! Hapus!,"Tak, usuń!",IGEN! TÖRLÉS!,ใช่!ลบซะ!,JA! SLETT DET!,Ja! Slet!,DA! Șterge!,Aye!,כן! למחוק!,JA! RADERA!,ΝΑΙ! ΔΙΑΓΡΑΦΗ!,Xóa ngay !,EVET! SİL!,أنا متأكد، احذف!,SIM! APAGAR!,KYLLÄ! POISTA!
SETTINGS_DELETESAVE_TEXT,CONFIRM YOU REALLY WANT TO DELETE ALL OF YOUR SAVED DATA,CONFIRME QUE DESEJA APAGAR TODOS OS DADOS SALVOS,TA LOCO TEM CTZ Q VAI APAGA TUUUUUDOOOO???,ВЫ ТОЧНО ХОТИТЕ УДАЛИТЬ ФАЙЛ СОХРАНЕНИЯ?,ほんとうに すべてのセーブデータを さくじょしますか?,Spielstand wirklich löschen?,SOUHAITEZ VOUS VRAIMENT EFFACER COMPLETEMENT VOTRE SAUVEGARDE,¿Confirmas que de verdad quieres eliminar TODOS tus datos guardados?,"Potvrď, že chceš opravdu smazat veškerá uložená data",저장된 데이터를 정말 삭제하시겠습니까?,Bevestig je dat je je opgeslagen save data verwijdert.,CONFERMA CHE VUOI DAVVERO ELIMINARE I TUOI SALVATAGGI,確定你真的要刪除所以已貯存之紀錄嗎?,确认删除所有已保存数据吗？,Yakin bahwa kamu benar benar ingin menghapus data permainanmu?,Naprawdę chcesz usunąć swój postęp w grze?,BIZTOS TÖRÖLNI AKAROD AZ ÖSSZES MENTÉST?,ยืนยัน ว่าคุณต้องการลบเซฟเกมทั้งหมดของคุณจริงๆ,GODKJEND OM DU VIL SLETTE EKSISTERENDE DATA,Godkend Du Virkelig Vil Slette Alt Din Gemte Data,Confirma ştergerea tuturor datelor salvate,Aaargghh??!,בטווווחח???,BEKRÄFTA ATT DU VERKLIGEN VILL RADERA ALL SPARAD DATA,ΕΠΙΒΕΒΑΙΩΣΕ ΟΤΙ ΠΡΑΓΜΑΤΙΚΑ ΘΕΛΕΙΣ ΝΑ ΔΙΑΓΡΑΨΕΤΕ ΟΛΑ ΤΑ ΑΠΟΘΗΚΕΥΜΕΝΑ ΔΕΔΟΜΕΝΑ ΣΑΣ,Bạn Có Thật Sự Muốn Xóa Phần Lưu Của Mình ?,KAYITLI TÜM VERİLERİNİZİ SİLMEK İSTEDİĞİNİZİ ONAYLAYIN,اكِّد أنك تريد حذف كل بياناتك المخزنة,CONFIRMA QUE QUERES MESMO APAGAR TODOS OS DADOS SALVOS,"VAHVISTA, ETTÄ TODELLA HALUAT POISTAA KAIKEN TALLENNETUN TIEDON"
SETTINGS_PERFORMANCE,VIDEO OPTIONS,OPÇÕES DE VÍDEO,COMOFAS PRA MELHORA EÇES PIXEL POE 3D,НАСТРОЙКИ ВИДЕО,ビデオ オプション,Grafikoptionen,VIDEO,Opciones de vídeo,Nastavení videa,비디오 옵션,VIDEO-OPTIES,OPZIONI VIDEO,畫面設定,画面设置,Pengaturan Video,Opcje grafiki,VIDEÓ BEÁLLITÁSOK,ตั้งค่าการแสดงผล,VIDEO INNSTILLINGER,Video-Indstillinger,Opțiuni video,Change the Movie,אפשרויות וידאו,GRAFIK INSTÄLLNINGAR,ΕΠΙΛΟΓΕΣ ΒΙΝΤΕΟ,Tùy Chỉnh Đồ Họa,EKRAN AYARLARI,ضبط الرسوميات,OPÇÕES DE VIDEO,VIDEOASETUKSET
SETTINGS_GAMEPLAY,GAMEPLAY OPTIONS,OPÇÕES DE JOGO,MIMIMI DEXA MUDA AS OPSAM,НАСТРОЙКИ ИГРЫ,ゲームプレイ オプション,Gameplay-Optionen,OPTIONS DE JEU,Opciones de juego,Nastavení hry,게임플레이 옵션,GAMEPLAY-OPTIES,OPZIONI GIOCO,操作設定,操作设置,Pengaturan Permainan,Opcje rozgrywki,JÁTÉK BEÁLLITÁSOK,ตั้งค่าการเล่น,SPILL INNSTILLINGER,Spil-Indstillinger,Opțiuni joc,Change the Game,אפשרויות משחק,SPEL INSTÄLLNINGAR,ΕΠΙΛΟΓΕΣ ΠΑΙΧΝΙΔΙΟΥ,Tùy Chỉnh Trò Chơi,OYUN İÇİ AYARLARI,خيارات اللعبة,OPÇÕES DE JOGO,PELIASETUKSET
SETTINGS_MAPPING,KEYBOARD MAPPING,CONFIGURAR TECLADO,TECLADO PRO GUEMER,НАСТРОЙКА КЛАВИШ,キーボード マッピング,Tastenbelegung,CLAVIER,Opciones de teclado,Nastavení kláves,키 설정,CONTROLLER-OPTIES,CONFIGURA TASTI,按鍵設定,按键设置,Pengaturan Tombol,Ustawienia klawiatury,BILLENTYŰ KIOSZTÁS,ตั้งค่าปุ่มกดคีย์บอร์ด,KNAPP KOMBINERING,Tastatur-indstillinger,Cartografiere taste,Change the 'Board,שינוי מקשים,KNAPP KONFIGURATION,ΚΑΘΟΡΙΣΜΟΣ ΠΛΗΚΤΡΩΝ,Tùy Chỉnh Phím,KLAVYE ATAMA,ترتيب مفاتيح التحكم,CONFIGURAR TECLADO,NÄPPÄINTEN UUDELLEENOHJAUS
SETTINGS_LANGUAGE,LANGUAGE,LÍNGUA,LINGUAGE,ЯЗЫК,ランゲージ,Sprache,LANGUE,Idioma,Jazyk,언어,TAAL,LINGUA,語言,语言,Pengaturan Bahasa,Ustawienia języka,NYELV,ภาษา,SPRÅK,Sprog,Limbă,Parley?,שפה,SPRÅK,ΓΛΩΣΣΑ,Ngôn Ngữ,DİL,اللغة,LINGUAGEM,KIELI
SETTINGS_MASTER,MASTER VOLUME,VOLUME GERAL,BATIDAO GERAL,ОБЩАЯ ГРОМКОСТЬ,マスター ボリューム,Gesamtlautstärke,VOLUME GLOBAL,Volumen del juego,Hlavní hlasitost,마스터 볼륨,HOOFDVOLUME,VOLUME PRINCIPALE,主音量,主音量,Volume Master,Główna głośność,FŐ HANGERŐ,เสียงหลัก,HOVEDVOLUMET,Hoved-Lyd,Volum,Loudness,קול כללי,VOLYM,ΚΥΡΙΑ ΕΝΤΑΣΗ,Âm Lượng Tổng,ANA SES,مستوى الصوت الرئيسي,VOLUME GERAL,PÄÄ-ÄÄNENVOIMAKKUUS
SETTINGS_SOUND,FX VOLUME,VOLUME EFEITOS,BATIDAO PUTS PUTS,ЭФФЕКТЫ,FX ボリューム,Soundeffekte,VOLUME EFFETS,Volumen de efectos,Hlasitost efektů,FX 볼륨,EFFECTVOLUME,VOLUME EFFETTI,效果音量,音效音量,Volume Suara Efek,Ustawienia dzwięku,JÁTÉK HANGEREJE,เสียงเอ็ฟเฟ็ก,EFFEKT VOLUMET,Lyd-effekts-indstillinger,FX volum,Loudness of Explosions,ווליום אפקטים,FX VOLYM,ΕΝΤΑΣΗ ΕΦΕ,Âm Lượng Hiệu Ứng,EFEKT SESİ,صوت المؤثرات,VOLUME DOS EFEITOS SONOROS,TEHOSTEÄÄNENVOIMAKKUUS
SETTINGS_MUSIC,MUSIC VOLUME,VOLUME MÚSICA,BATIDAO DAS MELODIA,МУЗЫКА,ミュージック ボリューム,Musik,VOLUME MUSIQUE,Volumen de música,Hlasitost hudby,음악 볼륨,MUZIEKVOLUME,VOLUME MUSICA,背景音樂音量,音乐音量,Volume Musik,Głośność muzyki,ZENE HANGEREJE,เสียงเพลง,MUSIKK VOLUMET,Musik-instillinger,Volum muzică,Loudness of the Symphony,ווליום מוזיקה,MUSIK VOLYM,ΕΝΤΑΣΗ ΜΟΥΣΙΚΗΣ,Âm Lượng Nhạc Nền,MÜZİK SESİ,صوت الموسيقى,VOLUME DA MÚSICA,MUSIIKIN ÄÄNENVOIMAKKUUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS_LOWPERF1,VIDEO CARD NOT SUPPORTED - ADVANCED EFFECTS DISABLED,PLACA DE VÍDEO NÃO SUPORTADA - EFEITOS AVANÇADOS DESLIGADOS,MELHORA SEU PC PARÇA KKK MALZ,ВИДЕОКАРТА НЕ ПОДДЕРЖИВАЕТСЯ - ДОП.ЭФФЕКТЫ ОТКЛЮЧЕНЫ,ビデオカードが サポートされていません - かくちょうエフェクトを むこうにします,Grafikkarte wird nicht unterstützt - einige Effekte wurden deaktiviert,CARTE GRAPHIQUE NON SUPPORTEE - EFFETS AVANCES DESACTIVES,Tarjeta de video no soportada - efectos avanzados desactivados,Grafická karta není podporována - pokročilejší efekty vypnuty,지원되지 않는 비디오 카드입니다- 고급 효과를 사용할 수 없습니다,VIDEOKAART NIET ONDERSTEUND - GEAVANCEERDE EFFECTEN UITGESCHAKELD,SCHEDA VIDEO NON SUPPORTATA - EFFETTI AVANZATI DISABILITATI,顯示卡不支援 - 進階效果關閉,显卡不支持 - 高级效果已停用,Video Card tidak memadai - efek tambahan telah ditiadakan,"Twoja karta graficzna nie jest wspierana, dlatego zaawansowane efekty zostały wyłączone",NEM TÁMOGATOTT VIDEÓKÁRTYA - SPECIÁLIS EFFEKTEK KIKAPCSOLVA,การ์จอของคุณไม่รองรับ -ปิดการตั้งค่าเอ็ฟเฟ็คขั้นสูง,GRAFIKK KORTET STØTTES IKKE - AVANSERTE EFFEKTER DEAKTIVERT,Grafikkort er ikke understøttet! Advancerede effekter slået fra!,Placa video nu este suportata - Efectele avansate sunt dezactivate,Video Card Not Supported. Turning Off the Cool Stuff.,כרטיס הוידאו שלך לא נתמך - אפקטים ממתקדמים בוטלו,GRAFIK KORT EJ STÖD - AVANCERADE EFFEKTER AVAKTIVERAT,ΔΕΝ ΥΠΟΣΤΗΡΙΖΕΤΕ Η ΚΑΡΤΑ ΓΡΑΦΙΚΩΝ - ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ ΠΡΟΗΓΜΕΝΩΝ ΕΦΕ,Card Đồ Họa không đủ yêu cầu - Hiệu Ứng Nâng Cao sẽ tắt,EKRAN KARTI DESTEKLENMİYOR - GELİŞTİRİLMİŞ EFEKTLER DEVRE DIŞI,كرت الشاشة غير مدعوم، عُطِّلت المؤثرات المتقدمة,PLACA DE VIDEO NÃO SUPORTADA - EFEITOS AVANÇADOS DESATIVAODS,VIDEOKORTTI EI TUETTU- EDISTYNEET TEHOSTEET POISTETTU KÄYTÖSTÄ
SETTINGS_LOWPERF2,YOU CAN RE-ENABLE THE EFFECTS AT THE SETTINGS MENU,VOCÊ PODE RELIGAR OS EFEITOS NO MENU DE OPÇÕES,QLQR COISA ME AVISA OU VAI NAS OPSAM D NOVO,ВЫ МОЖЕТЕ ВКЛЮЧИТЬ ЭФФЕКТЫ ПОЗЖЕ,せっていメニューから ゆうこうにできます,Effekte können in den Optionen reaktiviert werden,VOUS POUVEZ REACTIVER LES EFFETS DANS LE MENU DES OPTIONS,Puedes restablecer los efectos en el menú de opciones,Můžeš znovu spustit všechny efekty v menu,설정 메뉴에서 효과를 재 활성화 시킬 수 있습니다.,JE KUNT DE EFFECTEN OPNIEUW INSCHAKELEN IN HET INSTELLINGEN-MENU,PUOI RIATTIVARE GLI EFFETTI DAL MENU OPZIONI,你可於設定功能表中重新設定有關效果,你可以在设置菜单重新启用效果,Kamu bisa menampilkan kembali efek-efek di Pengaturan Menu,Możesz ponownie włączyć lub wyłączyć efekty w menu ustawień,ENGEDÉLYEZHETED AZ EFFEKTEKET A BEÁLLÍTÁSOK MENÜBEN,คุณสามารถเปิดเอ็ฟเฟ็คใหม่ได้ที่หน้าต่างการตั้งค่า,DU KAN SLÅ PÅ EFFEKTENE I INNSTILLINGENE,,Poţi reporni efectele în meniul setări,You Can Turn the Cool Stuff Back On in Settings,אתה יכול להפעיל מחדש את האפקטים המשניים בהגדרות,DU KAN AKTIVERA EFFEKTERNA I INSTÄLLNINGS MENYN,ΜΠΟΡΕΙΣ ΝΑ ΕΠΑΕΝΕΡΓΟΠΟΙΗΣΕΙΣ ΤΑ ΕΦΕ ΣΤΟ ΜΕΝΟΥ ΡΥΘΜΙΣΕΩΝ,Bạn có thể bật lại Hiệu ứng nâng cao ở mục Điều chỉnh,AYARLAR MENÜSÜNDEN EFEKTLERİ TEKRAR AÇABİLİRSİNİZ.,يمكنك تفعيل المؤثرات مرة أخرى في قائمة الإعدادات,"PODES REATIVAR OS EFFEITOS NO MENU ""DEFENIÇÕES""",VOIT OTTAA TEHOSTEET KÄYTTÖÖN ASETUKSISSA
SETTINGS_LOWPERF3,PRESS ANY KEY TO CONTINUE,APERTE QUALQUER TECLA PARA CONTINUAR,APERTA QLQR COISA VAI,НАЖМИТЕ ЛЮБУЮ КНОПКУ,キーを おしてください,Drücke eine Taste um fortzufahren,APPUYEZ SUR UNE TOUCHE POUR CONTINUER,Pulsa cualquier tecla para continuar,Pro pokračování stiskni libovolnou klávesu,아무키나 눌러 주세요.,DRUK OP EEN TOETS OM VERDER TE GAAN,PREMI UN TASTO QUALSIASI PER CONTINUARE,按任意鍵繼續,按任意键继续,Tekan Tombol Apapun Untuk Lanjut,"Wciśnij dowolny klawisz, aby kontynuować",NYOMJ MEG EGY GOMBOT A FOLYTATÁSHOZ,กดคีย์ใดๆ เพื่อเริ่มเกม,TRYKK EN KNAPP FOR Å FORTSETTE,Klik på en hver knap for at fortsætte,Apasă orice tastă pentru a continua,"Push a key, any key!",לחץ על כל מקש להמשיך,TRYCK VALFRI KNAPP FÖR ATT FORTSÄTTA,ΠΑΤΗΣΕ ΟΠΟΙΟΔΗΠΟΤΕ ΠΛΗΚΤΡΟ ΓΙΑ ΝΑ ΣΥΝΕΧΙΣΕΙΣ,Nhấn Bất Kỳ Phím Nào Để Tiếp Tục,DEVAM ETMEK İÇİN HERHANGİ BİR TUŞA BASIN.,اضغط أي زر لتتابع,PRESSIONA QUALQUER TECLA PARA CONTINUAR,PAINA MITÄ TAHANSA NÄPPÄINTÄ JATKAAKSESI
SETTINGS_ON,ON,SIM,VAI,ВКЛ,ON,An,OUI,Activado,Zapnout,켜기,AAN,SÌ,開,开,Hidup,Aktywne,BE,เปิด,PÅ,Slået til,Pornit,Aye,פעיל,PÅ,ΑΝΟΙΧΤΟ,Bật,AÇIK,مفعل,LIGADO,PÄÄLLÄ
SETTINGS_OFF,OFF,NÃO,NEM,ВЫКЛ,OFF,Aus,NON,Desactivado,Vypnout,끄기,UIT,NO,關,关,Mati,Nieaktywne,KI,ปิด,AV,Slået fra,Oprit,Nay,כבוי,AV,ΚΛΕΙΣΤΟ,Tắt,KAPALI,موقف,DESLIGADO,POIS PÄÄLTÄ
SETTINGS_FULL,FULL,TUDO,ALTAO,МАКС,FULL,Hoch,COMPLET,Máximo,Maximum,최대,VOL,MAX,最高,最高,Maksimal,FULL,TELJES,สูงสุด,,Fuld,Plin,Full Sail Ahead!,מלא,FULL,ΠΛΗΡΕΣ,Cao,EN YÜKSEK SEVİYE,عالي,MÁXIMO,TÄYSI
SETTINGS_LOW,LOW,BAIXO,BAXINHO,НИЗКИЙ,LOW,Niedrig,BAS,Bajo,Minimum,최저,LAAG,MIN,低,低,Minimal,Najniższe,ALACSONY,ต่ำสุด,LAV,Lav,Mic,Get Out the Oars,נמוך,LÅG,ΧΑΜΗΛΟ,Thấp,DÜŞÜK,منخفض,MÍNIMO,MINIMI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMEPLAY_DOUBLETAP,DOUBLE TAP TO DASH,DOIS TOQUES PARA SALTAR,DOIS TAP E AVOA,ДВОЙНОЕ НАЖАТИЕ ДЛЯ УВОРОТА,2かいおして ダッシュ,Richtungtaste doppelt tippen um zu sprinten,APPUIE DEUX FOIS POUR DASH,Pulsa dos veces para deslizarte,Dvojitým zmáčnutím uháníš vpřed,두번누르면 대쉬합니다,TOETS 2 KEER OM TE BESTORMEN,PREMI 2 VOLTE PER SCATTARE,雙擊衝刺,双击冲刺,Tekan 2 Kali Untuk Menghindar,"Wciśnij dwa razy, aby wykonać unik",KATTINTS KETTŐT A KITÉRÉSHEZ,กดปุ่มติดกันสองครั้งเพื่อกระโจนอย่างรวดเร็ว,DOBBEL TASTING FOR Å SPRINTE,Klik to gange for at spurte,Apasă de doua ori pentru Dash,Tap dat Twice to Dash,לחיצה כפולה לזינוק,DUBBEL TRYCK FÖR ATT SPRINGA,ΔΙΠΛΟ ΠΑΤΗΜΑ ΠΛΗΚΤΡΟΥ ΓΙΑ ΠΕΤΑΓΜΑ,Nhấp di chuyển 2 lần để lướt tới,SIÇRAMAK İÇİN 2 KERE BASIN,اضغط مرتين للإندفاع,CLIQUE DUPLO PARA DESLIZAR,KAKSOISNAPAUTA SYÖKSYÄKSESI
GAMEPLAY_MWHEEL,MOUSE WHEEL TO SWITCH WEAPONS,RODA DO MOUSE TROCA DE ARMA,RODA MOUSE E TROCA O CANHAO,КОЛЕСИКО МЫШИ ДЛЯ СМЕНЫ ОРУЖИЯ,マウスホイールで ぶきを きりかえる,Mit Mausrad Waffe wechseln,MOLETTE POUR CHANGER D'ARME,Usa la rueda del ratón para intercambiar armas,Kolečkem myši vybíráš zbraň,마우스휠로 무기를 바꿉니다,SCROLL-WIEL OM VAN WAPENS TE WISSELEN,SCORRI LA ROTELLA DEL MOUSE PER CAMBIARE ARMI,滑鼠滾輪切換武器,鼠标滚轮切换武器,Putar Mouse Tengah untuk Mengganti Senjata,"Kręć kółkiem od myszki, aby zmieniać bronie",FEGYVERVÁLTÁS A GÖRGŐVEL,เลื่อนลูกกลิ้งของเมาส์เพื่อเปลี่ยนอาวุธ,BYTTE VÅPEN MED SCROLL HJULET,Muse-hjul for at skife våben,Rotiţa mouse-ului pentru a schimba armele,Turn the Wheel to Change Your Gun,גלגלת העכבר להחליף נשק,MUSHJUL FÖR ATT BYTA VAPEN,ΓΥΡΙΣΜΑ ΡΟΔΕΛΑΣ ΓΙΑ ΕΝΑΛΛΑΓΗ ΟΠΛΩΝ,Lăn chuột để đổi vũ khí,SİLAH DEĞİŞTİRMEK İÇİN FARE TOPUNU KULLANIN,استعمل عجلة الفأرة لتبديل الأسلحة,RODA DO RATO PARA MUDAR DE ARMA,RULLAA VAIHTAAKSESI ASETTA
GAMEPLAY_SCREENSHAKE,SCREEN SHAKE AMOUNT,TREMIDA DE TELA,FRESCURINHA DA TELA KKK,ТРЯСКА ЭКРАНА,がめんの ゆれ,Bild-Rütteln,VIBRATION DE L'ECRAN,Cantidad de vibración de la pantalla,Kvalita obrazu,화면 흔들림 정도,HOEVEELHEID SCHERMBEWEGING,MOVIMENTO SCHERMO,螢幕搖晃度,屏幕摇晃幅度,Kuat Getaran pada Layar,Wartość wstrząsów ekranu,KÉPERNYŐ REZGÉSÉNEK ERŐSSÉGE,การสั่นไหวของหน้าจอ,NIVÅ PÅ SKJERM RISTING,Skærm-rysting,Zgâlţire ecran,Sea Sick?,רעידת מסך,SKÄRM SKAKNINGS MÄNGD,ΤΡΑΝΤΑΓΜΑ ΟΘΟΝΗΣ,Rung màn hình,EKRAN SALLANMA MİKTARI,مقدار اهتزاز الشاشة,QUANTIDADE DE TREMURA,NÄYTÖN RAVISTAMISEN MÄÄRÄ
GAMEPLAY_VIBRATION,CONTROLLER VIBRATION,VIBRAÇÃO DE CONTROLE,VIBRADOR,ВИБРАЦИЯ ГЕЙМПАДА,コントローラー しんどう,Controller-Vibration,VIBRATION DE LA MANETTE,Vibración del mando,Vibrace ovladače,컨트롤러 진동,CONTROLLER VIBRATIE,VIBRAZIONE CONTROLLER,控制器 震動,手柄震动,Getaran Controller,Wibracje kontrolera,CONTROLLER REZGÉS,การสั่นไหวขอจอยสติ็ก,VIBRASJON,Controller vibration,Vibratii controller,Vibrator,רטט שלט,KONTROLL VIBRATION,ΔΟΝΗΣΗ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - chế độ rung,KONTROLCÜ TİTREŞİMİ,اهتزاز يد التحكم,VIBRAÇÃO DO COMANDO,OHJAIMEN VÄRINÄ
